Decade,Year,Song,Artist,Genres,Popularity,Duration (min),Explicit,Polarity,Subjectivity,Total Words,Lexical Richness (%),Words per Minute
1990s,2005,Virtual Insanity - Remastered 2006,Jamiroquai,acid jazz,76,3.82,False,-0.057,0.471,465,30.97,121.64
1990s,1998,You Get What You Give,New Radicals,,81,5.01,False,0.075,0.512,458,36.68,91.36
1990s,1995,Fantasy,Mariah Carey,christmas,79,4.06,False,0.25,0.62,326,25.46,80.33
1990s,1993,Linger,The Cranberries,,86,4.58,False,-0.097,0.584,309,28.48,67.49
1990s,1999,Livin' la Vida Loca,Ricky Martin,"latin pop, latin",78,4.05,False,-0.042,0.481,441,26.3,108.82
1990s,1996,Cosmic Girl - Remastered 2013,Jamiroquai,acid jazz,72,4.07,False,0.0,0.0,0,0.0,0.0
1990s,1990,Thunderstruck,AC/DC,"rock, hard rock, classic rock, rock and roll",87,4.87,False,0.267,0.412,265,35.47,54.39
1990s,1998,Doo Wop (That Thing),Ms. Lauryn Hill,neo soul,77,5.34,False,0.192,0.54,1002,31.44,187.72
1990s,1999,Thank You,Dido,,79,3.64,False,0.122,0.392,262,38.17,71.99
1990s,1999,All Star,Smash Mouth,,79,3.34,False,-0.043,0.623,480,32.08,143.73
1990s,1999,All The Small Things,blink-182,"pop punk, punk, rock, skate punk, emo",82,2.78,False,0.016,0.406,226,28.32,81.17
1990s,1991,November Rain,Guns N' Roses,"rock, glam metal, hard rock, classic rock",84,8.93,False,0.054,0.753,409,32.03,45.78
1990s,1997,Gettin' Jiggy Wit It,Will Smith,,73,3.8,False,0.145,0.642,691,31.98,181.9
1990s,1998,"Tom's Diner - 7"" Version",DNA,,70,3.8,False,0.0,0.0,0,0.0,0.0
1990s,1992,What's Up?,4 Non Blondes,,86,4.93,False,0.157,0.43,358,25.14,72.68
1990s,1996,No Diggity,Blackstreet,new jack swing,79,5.08,False,0.129,0.46,839,31.35,165.27
1990s,1999,No Scrubs,TLC,,82,3.57,False,0.306,0.47,643,14.62,179.94
1990s,1995,High and Dry,Radiohead,"art rock, alternative rock",80,4.29,False,0.214,0.568,231,38.96,53.83
1990s,1995,Boombastic,Shaggy,reggae,74,4.17,False,0.238,0.49,675,30.81,162.04
1990s,1997,"Men In Black - From ""Men In Black"" Soundtrack",Will Smith,,67,3.79,False,0.0,0.0,0,0.0,0.0
1990s,1999,Canned Heat,Jamiroquai,acid jazz,71,5.53,False,-0.02,0.404,697,23.24,126.05
1990s,1998,The Kids Aren't Alright,The Offspring,"punk, skate punk",83,3.0,False,0.053,0.49,191,53.4,63.61
1990s,1992,Sweat (A La La La La Long),Inner Circle,"reggae, roots reggae",73,3.82,False,0.16,0.437,452,21.68,118.43
1990s,1998,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,"classic rock, rock",75,4.98,False,0.206,0.414,417,22.54,83.75
1990s,1999,Mambo No. 5 (a Little Bit of...),Lou Bega,,78,3.67,False,-0.026,0.466,419,33.17,114.12
1990s,1999,I Want It That Way,Backstreet Boys,,84,3.56,False,-0.152,0.43,297,21.89,83.54
1990s,1999,The Bad Touch,Bloodhound Gang,,75,4.34,True,0.121,0.547,454,37.67,104.57
1990s,1995,Gangsta's Paradise,Coolio,"west coast hip hop, g-funk",87,4.01,False,0.117,0.452,545,32.29,135.86
1990s,1995,1979 - Remastered 2012,The Smashing Pumpkins,"alternative rock, rock",80,4.44,False,0.0,0.0,0,0.0,0.0
1990s,1994,Basket Case,Green Day,"punk, pop punk",82,3.03,False,0.063,0.359,178,42.13,58.83
1990s,2021,Nothing Else Matters - Remastered 2021,Metallica,"metal, thrash metal, rock, heavy metal, hard rock",83,6.48,False,0.0,0.0,0,0.0,0.0
1990s,1999,Say My Name,Destiny's Child,,79,4.52,False,0.03,0.456,1012,15.81,223.78
1990s,1991,Under the Bridge,Red Hot Chili Peppers,"funk rock, alternative rock, rock",85,4.41,False,0.203,0.605,285,35.09,64.7
1990s,1999,My Name Is,Eminem,"rap, hip hop",73,4.47,True,-0.103,0.501,811,39.33,181.3
